ds,yhat
2010-02-05,16378.934132548178
2010-02-12,16564.20851355971
2010-02-19,16087.145108913273
2010-02-26,15700.774147192416
2010-03-05,15644.940967072524
2010-03-12,15649.593010089153
2010-03-19,15540.31354971771
2010-03-26,15497.289247425533
2010-04-02,15724.62492467511
2010-04-09,16054.900692360497
2010-04-16,16087.770715550938
2010-04-23,15717.479700318634
2010-04-30,15312.420888762143
2010-05-07,15319.628279716777
2010-05-14,15755.187914589804
2010-05-21,16224.070768510932
2010-05-28,16391.07884382306
2010-06-04,16327.42684033263
2010-06-11,16322.024847143079
2010-06-18,16459.702091697232
2010-06-25,16534.003187046466
2010-07-02,16351.598536842304
2010-07-09,16004.579671251142
2010-07-16,15746.588525697794
2010-07-23,15685.82895631433
2010-07-30,15714.543823256432
2010-08-06,15742.468163427227
2010-08-13,15842.5575213752
2010-08-20,16066.492769838425
2010-08-27,16209.930444991554
2010-09-03,15947.816189821813
2010-09-10,15264.518937147352
2010-09-17,14613.852993265853
2010-09-24,14497.226626117652
2010-10-01,14893.498029923136
2010-10-08,15265.324423397125
2010-10-15,15196.119192216618
2010-10-22,14913.926028670463
2010-10-29,15024.5033572323
2010-11-05,15767.021385350976
2010-11-12,16719.050959446293
2010-11-19,17367.544531236177
2010-11-26,17829.08500443358
2010-12-03,18713.07006578659
2010-12-10,20176.98050641375
2010-12-17,21307.147487062895
2010-12-24,20770.218664265063
2010-12-31,18220.348966848505
2011-01-07,14932.712190159744
2011-01-14,12858.49215302433
2011-01-21,12960.484797636294
2011-01-28,14502.008682132378
2011-02-04,15919.230321947205
2011-02-11,16282.711275401922
2011-02-18,15852.347875414222
2011-02-25,15400.590660213948
2011-03-04,15288.388178099654
2011-03-11,15302.182233666777
2011-03-18,15206.846241842393
2011-03-25,15128.624656432621
2011-04-01,15307.988531122493
2011-04-08,15649.237034759773
2011-04-15,15762.506723867276
2011-04-22,15454.377566125933
2011-04-29,15022.631074725
2011-05-06,14946.509713628418
2011-05-13,15338.85757177936
2011-05-20,15847.18789251399
2011-05-27,16087.004481182414
2011-06-03,16057.441798585314
2011-06-10,16038.893643245507
2011-06-17,16176.235352957105
2011-06-24,16298.077283838125
2011-07-01,16180.071922608282
2011-07-08,15861.546448942088
2011-07-15,15591.121471924562
2011-07-22,15517.94092915724
2011-07-29,15560.430620664181
2011-08-05,15606.183858106966
2011-08-12,15704.143958522513
2011-08-19,15932.116167654654
2011-08-26,16135.078845890024
2011-09-02,15980.332709751772
2011-09-09,15369.571010901773
2011-09-16,14688.499000863714
2011-09-23,14477.035059513368
2011-09-30,14830.782009504506
2011-10-07,15269.622164503606
2011-10-14,15300.61615574263
2011-10-21,15029.714618745526
2011-10-28,15048.96782770487
2011-11-04,15709.689082562154
2011-11-11,16686.21221449707
2011-11-18,17418.564337848704
2011-11-25,17886.237920297044
2011-12-02,18669.255989865836
2011-12-09,20079.2960848852
2011-12-16,21385.32414863187
2011-12-23,21229.57097539065
2011-12-30,18999.93879747813
2012-01-06,15709.026799772966
2012-01-13,13311.026694575945
2012-01-20,13043.669433852765
2012-01-27,14448.133653033618
2012-02-03,15997.769703200644
2012-02-10,16569.717761900814
2012-02-17,16232.51066672294
2012-02-24,15746.168939741288
2012-03-02,15583.209856318997
2012-03-09,15604.6712865861
2012-03-16,15534.251014342024
2012-03-23,15435.952762516128
2012-03-30,15565.215942898694
2012-04-06,15904.388228729293
2012-04-13,16086.728960986173
2012-04-20,15846.000641258901
2012-04-27,15399.239078851962
2012-05-04,15234.352357905474
2012-05-11,15557.481974214199
2012-05-18,16078.32377571929
2012-05-25,16377.794750091669
2012-06-01,16375.587556813605
2012-06-08,16331.988640986863
2012-06-15,16442.988162305155
2012-06-22,16584.532718082653
2012-06-29,16512.63573941708
2012-07-06,16209.63750213344
2012-07-13,15908.431193142653
2012-07-20,15796.059662241552
2012-07-27,15824.601139120563
2012-08-03,15866.650336184997
2012-08-10,15941.596358683919
2012-08-17,16144.07467553987
2012-08-24,16370.2002446435
2012-08-31,16294.389136872784
2012-09-07,15745.016125500977
2012-09-14,15028.192230379256
2012-09-21,14702.034567719327
2012-09-28,14972.876427228677
2012-10-05,15437.783431151402
2012-10-12,15550.565974572148
2012-10-19,15291.958272595351
2012-10-26,15212.329536142735
2012-10-27,15249.112156477946
2012-10-28,15300.334400759677
2012-10-29,15365.953680010922
2012-10-30,15445.57098799183
2012-10-31,15538.442972766805
2012-11-01,15643.504389555232
2012-11-02,15759.400363136132
2012-11-03,15884.527591290269
2012-11-04,16017.083345635354
2012-11-05,16155.120880947987
2012-11-06,16296.609656178545
2012-11-07,16439.498606350524
2012-11-08,16581.780589668324
2012-11-09,16721.556072413925
2012-11-10,16857.09410805424
2012-11-11,16986.8887173062
2012-11-12,17109.70888200281
2012-11-13,17224.64052516304
2012-11-14,17331.119058821063
2012-11-15,17428.951334554353
2012-11-16,17518.32612263154
2012-11-17,17599.812566441917
2012-11-18,17674.3464006245
2012-11-19,17743.204074614834
2012-11-20,17807.965278295178
2012-11-21,17870.46471298805
2012-11-22,17932.734279233464
2012-11-23,17996.9371531057
2012-11-24,18065.29548637736
2012-11-25,18140.013684702746
2012-11-26,18223.199385377375
2012-11-27,18316.78436675672
2012-11-28,18422.44767119819
2012-11-29,18541.543210184973
2012-11-30,18675.03404365445
2012-12-01,18823.435386715773
2012-12-02,18986.768198947833
2012-12-03,19164.524958979862
2012-12-04,19355.648926357033
2012-12-05,19558.527851388943
2012-12-06,19771.002720652694
2012-12-07,19990.391730830335
2012-12-08,20213.529277188885
2012-12-09,20436.81933609677
2012-12-10,20656.302224600055
2012-12-11,20867.73334513693
2012-12-12,21066.67218023764
2012-12-13,21248.5795002116
2012-12-14,21408.920494892394
2012-12-15,21543.271345738332
2012-12-16,21647.426622792653
2012-12-17,21717.50482628417
2012-12-18,21750.049397364484
2012-12-19,21742.122597088775
2012-12-20,21691.389795903917
2012-12-21,21596.191924349157
2012-12-22,21455.60410439998
2012-12-23,21269.478803266207
2012-12-24,21038.47221935813
2012-12-25,20764.05301419107
2012-12-26,20448.492933858906
2012-12-27,20094.839308251227
2012-12-28,19706.86986386586
2012-12-29,19289.03072527229
2012-12-30,18846.358899515835
2012-12-31,18384.39092604093
2013-01-01,17909.05972195536
2013-01-02,17426.581949474166
2013-01-03,16943.338471502848
2013-01-04,16465.750636153083
2013-01-05,16000.155237129957
2013-01-06,15552.681031540837
2013-01-07,15129.129658879665
2013-01-08,14734.863695919932
2013-01-09,14374.704404769871
2013-01-10,14052.841490272998
2013-01-11,13772.756884550992
2013-01-12,13537.164228768776
2013-01-13,13347.965334254535
2013-01-14,13206.224487073938
2013-01-15,13112.16102308714
2013-01-16,13065.160155656813
2013-01-17,13063.801597134263
2013-01-18,13105.905089367729
2013-01-19,13188.591558642167
2013-01-20,13308.358246794382
2013-01-21,13461.165851880332
2013-01-22,13642.5354465272
2013-01-23,13847.652736341875
2013-01-24,14071.477079242854
