Store,Weekly_Sales
1,222402808.85
2,275382440.98
3,57586735.07
4,299543953.38
5,45475688.9
6,223756130.64
7,81598275.14
8,129951181.13
9,77789218.99
10,271617713.89
11,193962786.8
12,144287230.15
13,286517703.8
14,288999911.34
15,89133683.92
16,74252425.4
17,127782138.83
18,155114734.21
19,206634862.1
20,301397792.46
21,108117878.92
22,147075648.57
23,198750617.85
24,194016021.28
25,101061179.17
26,143416393.79
27,253855916.88
28,189263680.58
29,77141554.31
30,62716885.12
31,199613905.5
32,166819246.16
33,37160221.96
34,138249763.0
35,131520672.08
36,53412214.97
37,74202740.32
38,55159626.42
39,207445542.47
40,137870309.79
41,181341934.89
42,79565752.43
43,90565435.41
44,43293087.84
45,112395341.42
